index1,link,report_date,firm_name_1,final_firm_location_1,firm_size_1,firm_name_2,final_firm_location_2,firm_size_2,merge_date
39,https://www.law360.com/mergersacquisitions/articles/1397036/nutter-expands-corporate-team-with-5-person-hire,6/22/2021,Nutter McClennen & Fish,"Boston, Massachusettes",150.0,BRL Law Group,"Wellesley, Massachusetts",5.0,6/23/2021
40,https://www.thompsoncoburn.com/news-events/news/2021-06-23/thompson-coburn-combines-with-hahn-hessen-expands-to-new-york,6/23/2021,Thompson Coburn,"St. Louis, Missouri",375.0,Hahn & Hessen,"New York, New York",44.0,7/21/2021
41,https://www.crowell.com/files/20210625-Crowell-Moring-to-Merge-with-IP-Boutique-Brinks-Gilson-Lione.pdf,6/25/2021,Crowell & MoringaZS,"Washington, DC",564.0,Brinks Gilson & Lione,"Chicago, Illinois",61.0,7/1/2021
42,https://www.reuters.com/legal/legalindustry/holland-knight-thompson-knight-cement-aug-1-merger-plans-2021-06-28/,6/28/2021,Holland & Knight,"Tampa, Florida",1400.0,Thompson & Knight,"Dallas, Texas",300.0,08/01/2021
43,https://www.saxtonstump.com/media/firm-news/attorneys-spitz-and-neville-join-saxton-stump-establishing-firms-south-carolina-presence/,6/29/2021,Saxton & Stump,"Lancaster, Pennsylvania",60.0,Spitz & Neville,"Charleston, South Carolina",2.0,6/1/2021
44,https://www.klgates.com/KL-Gates-Continues-Strategic-Growth-Combining-with-Luxembourg-Firm-Volckrick-Associates-to-Establish-Firms-Eighth-European-Office-7-6-2021,7/6/2021,K&L Gates,"Pittsburgh, Pennsylvania",1800.0,Volckrick & Associates,"Luxembourg City, Luxembourg",3.0,7/1/2021
45,https://www.law360.com/newsroom/articles/60f57583b868950277d8e5e4,7/20/2021,Husch Blackwell,"Kansas City, Missouri",800.0,Summit Health Law Partners,"Boston, Massachusetts",11.0,9/1/2021
46,https://dwmlaw.com/germani-hill-hayes-merges-with-drummond-woodsum/,7/21/2021,Drummond Woodsum,"Portland, Maine",21.0,Germani Hill & Hayes,"Portland, Maine",6.0,7/1/2021
47,https://www.stpetelawgroup.com/two-of-the-oldest-law-firms-in-tampa-bay-are-joining-forces/,8/2/2021,"Battaglia, Ross, Dicus & McQuaid PA","Saint Petersburg, Florida",13.0,Fisher & Sauls PA,"St. Petersburg, Florida",5.0,8/2/2021
48,https://financialpost.com/globe-newswire/reilly-llp-leading-colorado-trial-and-litigation-firm-joins-forces-with-fennemore,8/3/2021,Fennemore,"Phoenix, Arizona",175.0,Reilly LLP,"Denver, Colorado",7.0,
49,https://www.bizjournals.com/cincinnati/news/2021/08/04/two-northern-kentucky-law-firms-merge.html,8/4/2021,Gatlin Voelker Law Firm PLLC,"Covington, Kentucky",6.0,"Bonar, Bucher & Rankin","Covington, Kentucky",3.0,8/2/2021
50,https://www.law360.com/pulse/articles/1409381,8/6/2021,Stevens & Lee PC,"Reading, Pennsylvania",188.0,Maldjian Law Group LLC,"Tinton Falls, New Jersey",6.0,7/16/2021
