legacy_id,name,firm,practice,date,award
1383800,Scott Wilson,DLA Piper,['Compliance'],2021,Rising Stars
1383798,Danielle Fuschetti,Sanford Heisler,['Employment'],2021,Rising Stars
1383797,Polina Liberman,Kirkland & Ellis,['Tax'],2021,Rising Stars
1383796,Eric Ransom,Crowell & Moring,['Government Contracts'],2021,Rising Stars
1383795,Meredith Dearborn,Paul Weiss,['Technology'],2021,Rising Stars
1383794,Martin Esteban Strauch,Fried Frank,['Fund Formation'],2021,Rising Stars
1383764,George M. Barchini,Perry Guha,['White Collar'],2021,Rising Stars
1383763,Lauren Roberta Kennedy,Cravath Swaine,['Competition'],2021,Rising Stars
1383761,Danielle Jackson,Simpson Thacher,['Real Estate'],2021,Rising Stars
1383759,Camillie Landron,Jenner & Block,['Telecommunications'],2021,Rising Stars
1383758,Sarah Harris,Williams & Connolly,['Appellate'],2021,Rising Stars
1383756,Francis P. McConville,Labaton Sucharow,['Securities'],2021,Rising Stars
1383755,Nick Gianou,Skadden,['Tax'],2021,Rising Stars
1383753,Marcelo Pomeranz,Cooley,['Cannabis'],2021,Rising Stars
1383749,Samantha Rowe,Debevoise & Plimpton,['International Arbitration'],2021,Rising Stars
1383747,Meredith Elkins,Cohen Ziffer,['Insurance'],2021,Rising Stars
1383744,Julie S. Goldemberg,Morgan Lewis,['Intellectual Property'],2021,Rising Stars
1383743,Mark Bekheit,Latham & Watkins,['Technology'],2021,Rising Stars
1383742,David Zimmer,Goodwin Procter,['Appellate'],2021,Rising Stars
1383732,Erin J. Cox,Munger Tolles,['Media & Entertainment'],2021,Rising Stars
1383723,Macey Levington,Cleary Gottlieb,['Capital Markets'],2021,Rising Stars
1383685,Brenna Jenny,Sidley Austin,['Health'],2021,Rising Stars
1337248,,Bradley Arant,['Construction'],2020,Practice Groups Of The Year
1332339,,Paul Weiss,['Capital Markets'],2020,Practice Groups Of The Year
1331281,,Squire Patton Boggs,['International Arbitration'],2020,Practice Groups Of The Year
1331278,,Sidley Austin,['International Arbitration'],2020,Practice Groups Of The Year
1331276,,Hughes Hubbard,['International Arbitration'],2020,Practice Groups Of The Year
1331274,,Foley Hoag,['International Arbitration'],2020,Practice Groups Of The Year
1330898,,Wiley Rein,['International Trade'],2020,Practice Groups Of The Year
1330897,,Steptoe & Johnson LLP,['Insurance'],2020,Practice Groups Of The Year
1330896,,Gibson Dunn,['Life Sciences'],2020,Practice Groups Of The Year
1330806,,Cozen O'Connor,['Cannabis'],2020,Practice Groups Of The Year
1330804,,Wachtell Lipton,['Benefits'],2020,Practice Groups Of The Year
1330801,,McGuireWoods,['Banking'],2020,Practice Groups Of The Year
1330424,,Sidley Austin,['International Trade'],2020,Practice Groups Of The Year
1330404,,Reed Smith,['Insurance'],2020,Practice Groups Of The Year
1330390,,Dechert,['Life Sciences'],2020,Practice Groups Of The Year
1330388,,Pillsbury Winthrop,['Insurance'],2020,Practice Groups Of The Year
1330385,,Kelley Drye,['International Trade'],2020,Practice Groups Of The Year
1330384,,Covington & Burling,['Life Sciences'],2020,Practice Groups Of The Year
1330360,,Sullivan & Cromwell,['Product Liability'],2020,Practice Groups Of The Year
